onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials	PoleInTime	PoleOutTime	CueTime	GoodTrials	PhotostimulationType
222.04	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
230.915	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
239.812	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
248.654	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
257.513	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
266.347	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
275.228	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
284.057	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
292.895	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
301.948	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
310.78	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
319.77	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
328.645	5.4999500000000126	trials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[ nan 3.57]	False	0.0
337.489	5.4999500000000126	trials	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.57	1.87	[3.57 3.57]	True	1.0
346.492	5.499949999999956	trials	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	1.87	[3.57 3.57]	True	0.0
355.502	5.4999500000000126	trials	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	1.87	[3.57 3.57]	True	0.0
364.336	5.4999500000000126	trials	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.57	1.87	[3.57 3.57]	True	1.0
